Season,Team,DRtg,ORtg,Net Rtg,W,Playoff ORtg,Playoff DRtg,Playoff Net Rtg,ORtg Difference,DRtg Difference,Net Rtg Difference
2022-23,SAC,116.8,119.4,2.6,3,110.7,112.8,-2.1,-8.7,-4,-4.7
2022-23,ATL,116.3,116.6,0.3,2,115,120.3,-5.3,-1.6,4,-5.6
2020-21,POR,116,117.8,1.8,2,121.6,122.9,-1.3,3.8,6.9,-3.1
2021-22,ATL,114.9,116.5,1.6,1,102.3,114.9,-12.6,-14.2,0,-14.2
2022-23,NYK,114.8,117.8,3,6,108.9,108.5,0.4,-8.9,-6.3,-2.6
2019-20,POR,114.8,113.7,-1.1,1,104.6,115,-10.4,-9.1,0.2,-9.3
2022-23,LAC,114.5,115,0.5,1,117.1,123.6,-6.5,2.1,9.1,-7
2022-23,GSW,114.4,116.1,1.7,6,111.9,112.1,-0.2,-4.2,-2.3,-1.9
2022-23,DEN,114.2,117.6,3.4,16,119.5,110.8,8.7,1.9,-3.4,5.3
2022-23,BRK,114.1,115,0.9,0,103.1,115.6,-12.5,-11.9,1.5,-13.4
2022-23,LAL,113.9,114.5,0.6,8,113.7,111.3,2.4,-0.8,-2.6,1.8
2020-21,BRK,113.8,118.3,4.5,7,116.1,109.6,6.5,-2.2,-4.2,2
2022-23,MIN,113.8,113.7,-0.1,1,109.7,118.9,-9.2,-4,5.1,-9.1
2021-22,CHI,113.6,113.2,-0.4,1,94.9,109.4,-14.5,-18.3,-4.2,-14.1
2022-23,MIA,113.3,113,-0.3,13,114.1,112.5,1.6,1.1,-0.8,1.9
2020-21,ATL,113.3,115.7,2.4,10,109.8,111.3,-1.5,-5.9,-2,-3.9
2022-23,PHI,113.3,117.7,4.4,7,111.2,112.8,-1.6,-6.5,-0.5,-6
2020-21,DAL,113,115.4,2.4,3,115.5,121.1,-5.6,0.1,8.1,-8
2022-23,PHO,113,115.1,2.1,6,117,119.4,-2.4,1.9,6.4,-4.5
2020-21,WAS,113,111.2,-1.8,1,107.6,121.3,-13.7,-3.6,8.3,-11.9
2021-22,NOP,113,112,-1,2,117.6,119.2,-1.6,5.6,6.2,-0.6
2021-22,BRK,112.8,113.6,0.8,0,116.3,121.1,-4.8,2.7,8.3,-5.6
2020-21,BOS,112.5,114,1.5,1,117.1,128.7,-11.6,3.1,16.2,-13.1
2021-22,DEN,112.1,114.5,2.4,1,113.6,121.8,-8.2,-0.9,9.7,-10.6
2020-21,DEN,112.1,117.1,5,4,116.8,122.4,-5.6,-0.3,10.3,-10.6
2017-18,CLE,111.9,112.9,1,12,109.4,111.2,-1.8,-3.5,-0.7,-2.8
2022-23,MIL,111.9,115.4,3.5,1,114,118.9,-4.9,-1.4,7,-8.4
2021-22,MIL,111.8,115.1,3.3,7,104.4,102.8,1.6,-10.7,-9,-1.7
2019-20,DAL,111.7,116.7,5,2,112.7,122,-9.3,-4,10.3,-14.3
2021-22,MIN,111.7,114.3,2.6,2,106.4,111.8,-5.4,-7.9,0.1,-8
2018-19,LAC,111.5,112.4,0.9,2,111.5,121,-9.5,-0.9,9.5,-10.4
2022-23,BOS,111.5,118,6.5,11,117.2,113.7,3.5,-0.8,2.2,-3
2020-21,MIL,111.4,117.2,5.8,16,112.9,107.6,5.3,-4.3,-3.8,-0.5
2020-21,PHO,111.3,117.2,5.9,14,114.7,110,4.7,-2.5,-1.3,-1.2
2020-21,LAC,111.2,117.6,6.4,10,120.2,115.9,4.3,2.6,4.7,-2.1
2022-23,MEM,111.2,115.1,3.9,2,104,111.4,-7.4,-11.1,0.2,-11.3
2018-19,SAS,111.2,112.9,1.7,3,112.4,114.5,-2.1,-0.5,3.3,-3.8
2020-21,MIA,111.2,111.2,0,0,96.6,116.8,-20.2,-14.6,5.6,-20.2
2017-18,MIN,111.1,113.4,2.3,1,107,116.2,-9.2,-6.4,5.1,-11.5
2020-21,MEM,111,112,1,1,115.6,124,-8.4,3.6,13,-9.4
2019-20,DEN,111,113.1,2.1,9,113.6,116,-2.4,0.5,5,-4.5
2021-22,PHI,110.8,113.5,2.7,6,112.3,112,0.3,-1.2,1.2,-2.4
2016-17,POR,110.8,110.3,-0.5,0,99.3,116.9,-17.6,-11,6.1,-17.1
2018-19,HOU,110.7,115.5,4.8,6,110.9,107.6,3.3,-4.6,-3.1,-1.5
